time,lat,lon
2021-09-27 03:49:50,55.2128,11.244
2021-09-27 03:49:53,55.2128,11.244
2021-09-27 03:49:56,55.2128,11.244
2021-09-27 03:50:00,55.2128,11.244
2021-09-27 03:50:02,55.2128,11.244
2021-09-27 03:50:10,55.2128,11.244
2021-09-27 03:50:13,55.2128,11.244
2021-09-27 03:50:24,55.2128,11.244
2021-09-27 03:50:33,55.2128,11.244
2021-09-27 03:50:54,55.2129,11.244
2021-09-27 03:51:02,55.2129,11.244
2021-09-27 03:51:04,55.2129,11.244
2021-09-27 03:51:13,55.2129,11.244
2021-09-27 03:51:24,55.2129,11.244
2021-09-27 03:51:33,55.2129,11.244
2021-09-27 03:51:54,55.2129,11.244
2021-09-27 03:52:02,55.2129,11.244
2021-09-27 03:52:13,55.2129,11.244
2021-09-27 03:52:22,55.2129,11.244
2021-09-27 03:52:33,55.2129,11.244
2021-09-27 03:52:44,55.2129,11.244
2021-09-27 03:52:54,55.2129,11.244
2021-09-27 03:53:02,55.2129,11.244
2021-09-27 03:53:13,55.2129,11.244
2021-09-27 03:53:23,55.2129,11.244
2021-09-27 03:53:33,55.2129,11.244
2021-09-27 03:53:44,55.2129,11.244
2021-09-27 03:53:54,55.2129,11.244
2021-09-27 03:54:02,55.2129,11.244
2021-09-27 03:54:14,55.2129,11.244
2021-09-27 03:54:23,55.2129,11.244
2021-09-27 03:54:33,55.2129,11.244
2021-09-27 03:54:54,55.2129,11.244
2021-09-27 03:55:01,55.2129,11.244
2021-09-27 03:55:12,55.2129,11.244
2021-09-27 03:55:23,55.2129,11.244
2021-09-27 03:55:33,55.2129,11.244
2021-09-27 03:55:52,55.2129,11.244
2021-09-27 03:56:02,55.2129,11.244
2021-09-26 12:49:53,55.2128,11.2439
2021-09-26 12:49:55,55.2128,11.2439
2021-09-26 12:50:00,55.2128,11.244
2021-09-26 12:50:04,55.2128,11.244
2021-09-26 12:50:07,55.2128,11.244
2021-09-26 12:50:10,55.2128,11.244
2021-09-26 12:50:13,55.2128,11.244
2021-09-26 12:50:18,55.2128,11.244
2021-09-26 12:50:24,55.2128,11.244
2021-09-26 12:50:32,55.2128,11.244
2021-09-26 12:50:43,55.2128,11.244
2021-09-26 12:50:53,55.2128,11.244
2021-09-26 12:51:04,55.2128,11.244
2021-09-26 12:51:05,55.2128,11.244
2021-09-26 12:51:13,55.2128,11.244
2021-09-26 12:51:24,55.2128,11.244
2021-09-26 12:51:32,55.2128,11.244
2021-09-26 12:51:43,55.2128,11.244
2021-09-26 12:51:53,55.2128,11.244
2021-09-26 12:52:04,55.2128,11.244
2021-09-26 12:52:12,55.2128,11.244
2021-09-26 12:52:24,55.2128,11.244
2021-09-26 12:52:32,55.2128,11.244
2021-09-26 12:52:41,55.2128,11.244
2021-09-26 12:52:51,55.2128,11.244
2021-09-26 12:53:04,55.2128,11.244
2021-09-26 12:53:12,55.2128,11.244
2021-09-26 12:53:23,55.2128,11.244
2021-09-26 12:53:32,55.2128,11.244
2021-09-26 12:53:44,55.2128,11.244
2021-09-26 12:53:51,55.2128,11.244
2021-09-26 12:54:04,55.2128,11.244
2021-09-26 12:54:13,55.2128,11.244
2021-09-26 12:54:23,55.2128,11.244
2021-09-26 12:54:32,55.2128,11.244
2021-09-26 12:54:44,55.2128,11.244
2021-09-26 12:54:51,55.2128,11.244
2021-09-26 12:55:04,55.2128,11.244
2021-09-26 12:55:13,55.2128,11.244
2021-09-26 12:55:23,55.2128,11.244
2021-09-26 12:55:32,55.2128,11.244
2021-09-26 12:55:53,55.2128,11.244
2021-09-26 12:56:03,55.2128,11.244
2021-09-26 12:56:13,55.2128,11.244
2021-09-26 12:56:23,55.2128,11.244
2021-09-26 12:56:44,55.2128,11.244
2021-09-26 12:56:53,55.2128,11.244
2021-09-26 12:57:03,55.2128,11.244
